Time	CellId	RNTI	BWPId	SINR(dB)
22.4699	1	1	0	8.75438
22.47	1	1	0	8.78362
22.4702	1	1	0	8.78408
22.4703	1	1	0	8.78058
22.4704	1	1	0	8.758
22.4705	1	1	0	8.74793
22.4707	1	1	0	8.73803
22.4708	1	1	0	8.73765
22.4709	1	1	0	8.73237
22.471	1	1	0	8.72748
22.4712	1	1	0	8.72739
22.4713	1	1	0	8.72621
22.4714	1	1	0	8.687
22.4716	1	1	0	8.69286
22.4717	1	1	0	8.69202
22.4718	1	1	0	8.68449
22.4719	1	1	0	8.66747
22.472	1	1	0	8.67439
22.4722	1	1	0	8.67279
22.4723	1	1	0	8.66827
22.4724	1	1	0	8.66963
22.4725	1	1	0	8.67773
22.4727	1	1	0	8.65555
22.4728	1	1	0	8.63959
22.4729	1	1	0	8.64415
22.4731	1	1	0	8.62848
22.4732	1	1	0	8.62547
22.4733	1	1	0	8.62315
22.4734	1	1	0	8.60863
22.4737	1	1	0	8.58239
22.4738	1	1	0	8.57179
22.4739	1	1	0	8.58799
22.474	1	1	0	8.59966
22.4742	1	1	0	8.58057
22.4743	1	1	0	8.58696
22.4746	1	1	0	8.58955
22.4747	1	1	0	8.58481
22.4748	1	1	0	8.58818
22.4749	1	1	0	8.53982
22.475	1	1	0	8.52154
22.4752	1	1	0	8.54279
22.4753	1	1	0	8.514
22.4754	1	1	0	8.49829
22.4756	1	1	0	8.47439
22.4757	1	1	0	8.46802
22.4758	1	1	0	8.43719
22.4759	1	1	0	8.44512
22.4761	1	1	0	8.42387
22.4762	1	1	0	8.44428
22.4763	1	1	0	8.43505
22.4764	1	1	0	8.42848
22.4765	1	1	0	8.39967
22.4767	1	1	0	8.38647
22.4768	1	1	0	8.37699
22.4769	1	1	0	8.36557
22.477	1	1	0	8.35739
22.4772	1	1	0	8.34162
22.4773	1	1	0	8.33073
22.4774	1	1	0	8.34865
22.4775	1	1	0	8.35791
22.4777	1	1	0	8.37077
22.4778	1	1	0	8.34754
22.478	1	1	0	8.35849
22.478	1	1	0	8.32373
22.4782	1	1	0	8.29548
22.4783	1	1	0	8.29299
22.4784	1	1	0	8.29213
22.4786	1	1	0	8.28201
22.4787	1	1	0	8.26325
22.4788	1	1	0	8.25299
22.4789	1	1	0	8.25602
22.4791	1	1	0	8.26193
22.4792	1	1	0	8.26575
22.4793	1	1	0	8.26951
22.4794	1	1	0	8.25321
22.4797	1	1	0	8.24997
22.4798	1	1	0	8.23825
22.4799	1	1	0	8.26198
22.48	1	1	0	8.26361
22.4802	1	1	0	8.25072
22.4803	1	1	0	8.24634
22.4806	1	1	0	8.21991
22.4807	1	1	0	8.23828
22.4808	1	1	0	8.21563
22.4809	1	1	0	8.21416
